ID,Agency Name,Required Report Name,Report Description,Frequency,Frequency Integer,Other Frequency Description,Start Date,End Date,Authorizing Resource (Charter and Code),Authorizing Resource (Local Law),Formatted Start Date,Formatted End Date
1,"Actuary, NYC Office of the (NYCOA)",Language Access Implementation Plan/Local Law 30 of 2017 Report,,Every X years,3,,December 31 2020,,New York City Administrative Code Title 23 Section 1102(d),LL30/2017,2020-12-31,
2,"Actuary, NYC Office of the (NYCOA)",Quarterly Equal Employment Opportunity and Diversity Plan Implementation,"A report on the agency's efforts during the previous quarter to implement the plan adopted pursuant to paragraph nineteen (annual plan) of Section 815(a),including details of agency's efforts to implement equal employment practices, including statistical information regarding total employment, including provisional, seasonal, per-diem and part-time employees, new hiring and promotions in a manner which facilitates understanding of an agency's efforts to provide fair and effective equal opportunity employment for minority group members, women and members of other groups who are employed by, or who seek employment with, city agencies",Every X months,3,,January 1 2020,,"New York City Charter Chapter 35, Section 815(i) ","LL 102/1977, LL 59/1996, LL 12/2019",2020-01-01,
3,"Actuary, NYC Office of the (NYCOA)",Report on Agency Policies on Identifying Information,"Report regarding the collection, retention, and disclosure of identifying information by such agency and any contractors or subcontractors utilized by such agency",Every X years,2,,July 31 2020,,"New York City Administrative Code Title 23, Section 1205",LL 245/2017,2020-07-31,
4,"Actuary, NYC Office of the (NYCOA)",Report on Open Data Compliance,"Report on which public data set or sets that it is unable to make available, the reasons why it cannot do so and the date by which the agency expects that such public data set or sets will be available on the single web portal",,,Annually direct to Mayor's Office for Open Data,,,"New York City Administrative Code Title 23, Section 502(a)",LL 11/2012,,
5,"Administrative Trials and Hearings, Office of (OATH)","Adjudications of Specified Violations/""Criminal Justice Reform Act Quarterly Report""","Report on numbers of adjudications relating to certain violations, including information on use of community service",Every X months,3,,July 20 2020,,"New York City Charter Chapter 45-a, Section 1049(6)",LL 73/2016,2020-07-20,
6,"Administrative Trials and Hearings, Office of (OATH)",Annual Report,"Report on yearly evaluation of penalties and judgments imposed for specified violations, and recommendations",Every X years,1,,February 15 2020,,"New York City Charter Chapter 45-a, Section 1048(7)",LL 73/2016,2020-02-15,
7,"Administrative Trials and Hearings, Office of (OATH)",Annual Report on Adjudications of Engine Idling Violations (with Environmental Control Board (ECB)),"Report stating the number of notices of violation issued for engine idling violations returnable to the environmental control board, including the total amount of penalties imposed for such notices of violations",Every X years,1,,May 6 2020,,"New York City Charter Chapter 45-a, Section 1048(6), 1049; New York City Administrative Code Chapter 24, Section 163(g)","LL 5/2009
LL 38/2015, 
LL 58/2018",2020-05-06,
8,"Administrative Trials and Hearings, Office of (OATH)",Criminal Justice Reform Act Annual Report/Annual summary of specified violations,"Summary of yearly evaluation of penalties and judgments imposed for specified violations, as defined by paragraph (b) of subdivision 4 of this section. Such evaluation shall examine the amount of penalties and judgments accrued by natural persons for such specified violations both in total and during the previous year. Such summary shall additionally include the chief administrative law judge's recommendation as to whether, based upon the chief administrative law judge's evaluation, a limit should be enacted by local law on the civil penalties and judgments that may be imposed for specified violations upon a natural person within a particular period of time. This recommendation shall take into account whether the amount of civil penalties or community service imposed for the specified violations on certain natural persons is disproportionate to the harm caused by such specified violations and shall additionally include the chief administrative law judge's recommendations for which specified violations, if any, should be subject to a limit and the dollar amount of such limit, if any.",Every X years,1,,February 15 2020,,"New York City Charter Chapter 45-a, Section 1049(7)",LL 73/2016,2020-02-15,
9,"Administrative Trials and Hearings, Office of (OATH)",Language Access Implementation Plan/Local Law 30 of 2017 Report,,Every X years,3,,December 31 2020,,New York City Administrative Code Title 23 Section 1102(d),LL30/2017,2020-12-31,
10,"Administrative Trials and Hearings, Office of (OATH)",Quarterly Equal Employment Opportunity and Diversity Plan Implementation,"A report on the agency's efforts during the previous quarter to implement the plan adopted pursuant to paragraph nineteen (annual plan) of Section 815(a),including details of agency's efforts to implement equal employment practices, including statistical information regarding total employment, including provisional, seasonal, per-diem and part-time employees, new hiring and promotions in a manner which facilitates understanding of an agency's efforts to provide fair and effective equal opportunity employment for minority group members, women and members of other groups who are employed by, or who seek employment with, city agencies",Every X months,3,,January 1 2020,,"New York City Charter Chapter 35, Section 815(i) ","LL 102/1977, LL 59/1996, LL 12/2019",2020-01-01,
